Date,Open,High,Low,Close,Volume,Adj Close
2012-02-03,1973.00,1988.00,1943.05,1955.90,30100,1728.48
2012-02-02,1962.00,2002.90,1943.00,1969.40,75000,1740.41
2012-02-01,1860.00,1942.40,1850.00,1928.25,73500,1704.04
2012-01-31,1835.25,1870.00,1811.80,1863.90,53600,1647.17
2012-01-30,1830.00,1842.00,1807.15,1824.20,38800,1612.09
2012-01-27,1855.00,1870.00,1800.20,1821.85,75600,1610.01
2012-01-26,1863.00,1863.00,1863.00,1863.00,000,1646.38
2012-01-25,1890.00,1894.15,1846.00,1863.00,54900,1646.38
2012-01-24,1870.00,1912.95,1832.00,1890.00,89400,1670.24
2012-01-23,1921.00,1958.15,1860.00,1870.45,77700,1652.96
2012-01-20,1904.00,1993.50,1872.30,1950.70,169800,1723.88
2012-01-19,1875.00,1918.00,1857.15,1857.15,167300,1641.21
2012-01-18,1828.15,1871.85,1828.15,1857.15,29200,1641.21
2012-01-17,1803.30,1838.00,1800.00,1826.70,23400,1614.30
2012-01-16,1790.00,1805.00,1771.05,1794.80,37600,1586.11
2012-01-13,1801.65,1818.40,1779.00,1790.25,36600,1582.09
2012-01-12,1810.00,1823.90,1744.00,1812.85,38600,1602.06
2012-01-11,1779.00,1824.85,1779.00,1809.20,63700,1598.83
2012-01-10,1734.90,1778.45,1734.90,1774.25,65200,1567.95
2012-01-09,1734.90,1737.00,1702.65,1727.55,101100,1526.68
2012-01-06,1823.00,1823.00,1717.00,1735.00,150100,1533.26
2012-01-05,1790.00,1844.10,1785.00,1828.55,75600,1615.94
2012-01-04,1829.90,1830.00,1767.70,1787.00,105900,1579.22
2012-01-03,1859.00,1884.85,1806.10,1837.50,110600,1623.84
2012-01-02,1910.00,1914.00,1799.00,1838.55,131800,1624.77
2011-12-30,1900.00,1934.00,1900.00,1905.25,31600,1683.72
2011-12-29,1899.00,1919.20,1890.00,1904.05,19000,1682.66
2011-12-28,1907.00,1918.00,1892.60,1904.55,37600,1683.10
2011-12-27,1925.00,1934.00,1895.00,1900.95,33900,1679.92
2011-12-26,1856.00,1941.00,1845.00,1918.75,52700,1695.65
2011-12-23,1856.00,1868.00,1813.00,1850.65,27000,1635.47
2011-12-22,1814.90,1872.00,1814.90,1853.05,53800,1637.59
2011-12-21,1840.00,1868.75,1765.35,1848.80,84200,1633.83
2011-12-20,1909.00,1925.00,1791.00,1811.10,75700,1600.51
2011-12-19,1935.90,1941.90,1878.00,1909.55,42200,1687.52
2011-12-16,1970.00,2004.95,1901.50,1922.05,49300,1698.56
2011-12-15,1960.00,1966.15,1911.00,1956.40,40400,1728.92
2011-12-14,2013.00,2013.00,1966.00,1974.45,28900,1744.87
2011-12-13,1970.00,2013.00,1941.05,2003.45,46100,1770.50
2011-12-12,2035.60,2050.90,1965.15,1974.65,28300,1745.05
2011-12-09,2040.00,2059.90,2011.55,2033.10,28900,1796.70
2011-12-08,2059.00,2091.00,2041.25,2054.15,43500,1815.30
2011-12-07,2062.10,2085.00,2050.00,2059.25,21300,1819.81
2011-12-06,2065.05,2065.05,2065.05,2065.05,000,1824.94
2011-12-05,2081.00,2081.00,2053.10,2065.05,21500,1824.94
2011-12-02,2100.00,2113.95,2057.00,2083.55,66900,1841.28
2011-12-01,2050.00,2100.00,2035.00,2089.90,55600,1846.90
2011-11-30,2060.00,2086.80,1978.00,2003.25,61800,1770.32
2011-11-29,2040.10,2075.00,1990.05,2060.15,60000,1820.61
2011-11-28,2061.60,2083.95,2027.00,2034.90,32300,1798.29
2011-11-25,2095.00,2095.00,2031.40,2049.10,49300,1810.84
2011-11-24,2125.00,2153.35,2078.00,2106.00,42600,1861.12
2011-11-23,2145.00,2165.05,2104.00,2126.25,65300,1879.02
2011-11-22,2170.50,2193.75,2132.05,2168.65,65900,1916.49
2011-11-21,2190.00,2197.85,2156.80,2170.50,38800,1918.12
2011-11-18,2117.95,2194.00,2106.15,2184.15,68000,1930.19
2011-11-17,2099.90,2152.00,2076.00,2119.50,44300,1873.05
2011-11-16,2160.00,2160.00,2089.55,2104.60,38900,1859.89
2011-11-15,2209.90,2229.00,2144.15,2163.65,51600,1912.07
2011-11-14,2167.00,2248.00,2167.00,2209.90,94900,1952.94
2011-11-11,2129.90,2189.90,2118.35,2173.55,53200,1920.82
